# Task file, format (one line per task):
# IPC   MPI     MR_ALP  MR_EXP  INSTR   DEADL   DOP

1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2
1.0     0.2     0.1     -0.1    20e6    20000       2

